epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5048,1.1046,4.04455,1.20673,0.00414,1,0.67841,0.44717,1.03056,4.23709,1.14647,0.0003875,0.0003875,0.0003875
2,25.7487,1.16798,3.16973,1.06869,0.00409,1,0.91433,0.67923,0.9001,3.69222,1.08689,0.000761512,0.000761512,0.000761512
3,36.5354,1.06912,2.95519,1.07164,0.00461,1,0.74117,0.53603,0.94981,3.60695,1.03372,0.00110913,0.00110913,0.00110913
4,47.505,0.98972,2.98524,1.03408,0.57981,1,0.77417,0.63654,0.85458,3.26528,1.01902,0.00112625,0.00112625,0.00112625
5,58.1484,1.0303,3.09276,1.10495,0.51112,1,0.72967,0.55838,1.00217,3.58941,1.2081,0.001085,0.001085,0.001085
6,68.8666,0.98402,2.92663,1.08972,0.9422,0.98197,0.995,0.81847,0.90537,2.62141,1.14835,0.00104375,0.00104375,0.00104375
7,80.2469,0.91253,2.99551,1.04966,0.95779,1,0.995,0.89576,0.62872,1.96043,1.0161,0.0010025,0.0010025,0.0010025
8,92.1884,0.95419,2.34877,1.06789,0.78753,1,0.94,0.85167,0.66608,2.32447,1.02491,0.00096125,0.00096125,0.00096125
9,103.169,0.91665,2.04903,1.00233,0.95323,1,0.995,0.88454,0.67811,2.21254,1.06997,0.00092,0.00092,0.00092
10,114.245,0.92217,2.67455,1.06467,0.76624,1,0.995,0.82946,0.80981,2.08233,1.08921,0.00087875,0.00087875,0.00087875
11,125.405,0.87984,2.23044,1.05963,0.8572,1,0.995,0.88454,0.83156,2.18502,1.11118,0.0008375,0.0008375,0.0008375
12,136.517,0.92487,1.97763,1.05081,0.92825,1,0.995,0.87357,0.7594,2.08964,1.12491,0.00079625,0.00079625,0.00079625
13,147.465,0.83636,2.26209,0.95836,0.9067,1,0.995,0.82383,0.77597,2.11634,1.09118,0.000755,0.000755,0.000755
14,157.957,0.75363,1.8809,0.94584,0.96293,1,0.995,0.86281,0.66013,1.76147,1.02908,0.00071375,0.00071375,0.00071375
15,168.707,0.84442,1.61144,0.99939,0.96829,1,0.995,0.84602,0.72792,1.79084,1.06294,0.0006725,0.0006725,0.0006725
16,179.165,0.90303,1.78231,1.01436,0.96231,1,0.995,0.8404,0.67236,1.81588,1.0665,0.00063125,0.00063125,0.00063125
17,190.21,0.91755,1.75691,1.06704,0.92719,1,0.995,0.84602,0.64142,2.05479,1.04485,0.00059,0.00059,0.00059
18,200.818,0.83279,1.79777,1.04577,0.94041,1,0.995,0.85163,0.65541,2.33566,1.05032,0.00054875,0.00054875,0.00054875
19,211.73,0.75698,1.53163,0.98726,0.94909,1,0.995,0.84602,0.61352,1.80669,1.01482,0.0005075,0.0005075,0.0005075
20,224.714,0.80253,1.76919,1.03423,0.95957,1,0.995,0.86261,0.62231,1.58131,0.98894,0.00046625,0.00046625,0.00046625
21,236.202,0.69099,1.71808,0.97522,0.9143,0.99092,0.995,0.87919,0.64047,1.56391,0.99106,0.000425,0.000425,0.000425
22,247.346,0.69821,1.65046,0.9532,0.9135,0.99031,0.995,0.91236,0.67076,1.63873,0.99791,0.00038375,0.00038375,0.00038375
23,258.395,0.68317,1.63126,0.9538,0.97174,1,0.995,0.87919,0.63837,1.63583,0.97954,0.0003425,0.0003425,0.0003425
24,269.326,0.66291,1.53909,0.92013,0.97297,1,0.995,0.91235,0.60759,1.74895,0.96724,0.00030125,0.00030125,0.00030125
25,280.022,0.68744,1.50223,0.95687,0.97307,1,0.995,0.91234,0.57766,1.85632,0.96163,0.00026,0.00026,0.00026
26,290.7,0.64803,1.49174,0.92736,0.97284,1,0.995,0.91234,0.57024,1.79771,0.9616,0.00021875,0.00021875,0.00021875
27,301.452,0.6442,1.43239,0.89242,0.97294,1,0.995,0.91234,0.57602,1.7161,0.96647,0.0001775,0.0001775,0.0001775
28,312.317,0.61364,1.45709,0.89172,0.97585,1,0.995,0.91235,0.58691,1.608,0.96925,0.00013625,0.00013625,0.00013625
29,323.155,0.61638,1.50009,0.93721,0.97623,1,0.995,0.91235,0.57854,1.56883,0.96453,9.5e-05,9.5e-05,9.5e-05
30,334.065,0.62518,1.46878,0.93244,0.97393,1,0.995,0.92331,0.57305,1.63734,0.96326,5.375e-05,5.375e-05,5.375e-05
