epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2699,1.24552,3.64115,1.36535,0.00341,1,0.33841,0.21379,0.69406,3.76345,1.05302,0.00015003,0.00015003,0.00015003
2,22.0293,1.20375,2.92772,1.32518,0.00494,1,0.66292,0.47838,0.96296,3.00753,1.30466,0.000313594,0.000313594,0.000313594
3,31.8697,1.27829,2.51187,1.31495,0.00336,1,0.74625,0.5223,0.94989,2.9296,1.13937,0.000473858,0.000473858,0.000473858
4,41.6188,1.2303,2.22773,1.22523,0.00334,1,0.82917,0.66333,0.89555,2.99338,1.09169,0.000630821,0.000630821,0.000630821
5,51.5552,1.24969,2.1618,1.22501,0.00335,1,0.66333,0.46413,0.86672,2.95788,1.15628,0.000784484,0.000784484,0.000784484
6,61.4168,1.12687,2.03322,1.19864,0.2293,1,0.63792,0.42409,0.93866,2.8941,1.19188,0.000934845,0.000934845,0.000934845
7,71.2649,1.24578,2.11916,1.23486,0.3092,0.5,0.58,0.39172,0.96062,2.73324,1.20476,0.00108191,0.00108191,0.00108191
8,81.2058,1.0957,1.89767,1.13938,0.36928,0.5,0.6965,0.42343,0.96749,2.83188,1.18188,0.00122567,0.00122567,0.00122567
9,91.0159,1.2822,2.1286,1.19693,0.95905,0.5,0.81643,0.58369,1.12506,2.38354,1.27765,0.00136613,0.00136613,0.00136613
10,100.814,1.19973,1.90544,1.18555,0.55335,0.93631,0.91167,0.55514,1.27931,2.08497,1.25003,0.00150329,0.00150329,0.00150329
11,110.634,1.1576,1.71916,1.13197,0.53628,1,0.995,0.54856,1.32602,2.85476,1.30729,0.00150197,0.00150197,0.00150197
12,120.548,1.3082,1.95717,1.19294,0.57271,1,0.995,0.68392,1.15021,2.87343,1.21132,0.00148546,0.00148546,0.00148546
13,130.247,1.31008,2.09605,1.23058,0.57271,1,0.995,0.68392,1.15021,2.87343,1.21132,0.00146896,0.00146896,0.00146896
14,140.032,1.12578,1.64498,1.1487,0.8211,1,0.995,0.72106,1.15756,1.60302,1.18761,0.00145246,0.00145246,0.00145246
15,149.877,1.16999,1.90324,1.22033,0.79465,1,0.995,0.75846,0.9868,1.76291,1.13272,0.00143595,0.00143595,0.00143595
16,159.714,1.15661,1.59011,1.15592,0.6523,0.97967,0.995,0.69588,0.96997,2.54955,1.29126,0.00141945,0.00141945,0.00141945
17,169.432,1.2631,1.73122,1.20242,0.6523,0.97967,0.995,0.69588,0.96997,2.54955,1.29126,0.00140295,0.00140295,0.00140295
18,179.189,1.14098,1.69365,1.20278,0.70526,0.75,0.77833,0.64768,0.867,2.71109,1.14638,0.00138644,0.00138644,0.00138644
19,188.958,1.10672,1.46757,1.09075,0.78907,1,0.995,0.68394,1.0824,1.78522,1.20887,0.00136994,0.00136994,0.00136994
20,198.751,1.11161,1.59268,1.13507,0.96725,1,0.995,0.7089,1.06214,1.67882,1.22632,0.00135344,0.00135344,0.00135344
21,208.439,1.04956,1.36559,1.11977,0.96938,1,0.995,0.74625,1.07591,1.62934,1.26542,0.00133693,0.00133693,0.00133693
22,218.137,1.05362,1.36654,1.10872,0.96938,1,0.995,0.74625,1.07591,1.62934,1.26542,0.00132043,0.00132043,0.00132043
23,227.993,1.15381,1.40543,1.14294,0.90416,0.99229,0.995,0.77102,0.9072,1.49974,1.16992,0.00130393,0.00130393,0.00130393
24,237.745,1.11115,1.31297,1.15369,0.82563,0.98593,0.995,0.74586,1.00604,1.47178,1.20175,0.00128742,0.00128742,0.00128742
25,247.936,1.06379,1.31303,1.10603,0.78935,0.98667,0.995,0.74606,1.15741,1.60741,1.24165,0.00127092,0.00127092,0.00127092
26,257.695,1.03788,1.42958,1.12731,0.78935,0.98667,0.995,0.74606,1.15741,1.60741,1.24165,0.00125442,0.00125442,0.00125442
27,267.408,1.06086,1.25485,1.08112,0.86822,0.98168,0.995,0.68392,1.23416,1.34293,1.27418,0.00123791,0.00123791,0.00123791
28,277.201,1.1173,1.32033,1.16456,0.89485,0.9973,0.995,0.72127,1.05627,1.38192,1.15111,0.00122141,0.00122141,0.00122141
29,286.879,1.02413,1.27513,1.10494,0.90336,0.99666,0.995,0.82077,0.84493,1.41652,1.09247,0.00120491,0.00120491,0.00120491
30,296.77,1.07748,1.29596,1.14245,0.90336,0.99666,0.995,0.82077,0.84493,1.41652,1.09247,0.0011884,0.0011884,0.0011884
31,306.515,1.01264,1.27031,1.09479,0.8507,0.87695,0.995,0.82077,0.82872,1.52678,1.14741,0.0011719,0.0011719,0.0011719
32,316.442,0.97999,1.19347,1.09617,0.96828,1,0.995,0.79559,0.82602,1.53987,1.12255,0.0011554,0.0011554,0.0011554
